ID	繁體	簡體	IPA_S	IPA_T	粵拼	來源	詞例	leimaau附註
2360	埂	埂	kɐŋ35	kɐŋ35	gang2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）	田埂。	
2361	丙	丙	piŋ35	pɪŋ35/peŋ35	bing2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2362	秉	秉	piŋ35	pɪŋ35/peŋ35	bing2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2363	警	警	kiŋ35	kɪŋ35/keŋ35	ging2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2364	儆	儆	kiŋ35	kɪŋ35/keŋ35	ging2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2365	景	景	kiŋ35	kɪŋ35/keŋ35	ging2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2366	境	境	kiŋ35	kɪŋ35/keŋ35	ging2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2367	影	影	0iŋ35	jɪŋ35/jeŋ35	jing2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2368	省	省	ʃaŋ35	ʃaːŋ35	saang2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）	省長、節省讀音亦同。	
2369	永	永	0uiŋ23	wɪŋ24/weŋ24	wing5	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2370	皿	皿	mɐn23	mɐn24	man5	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2371	杏	杏	hɐŋ22	hɐŋ22	hang6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2372	猛	猛	maŋ23	maːŋ24	maang5	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2373	礦	矿	kʰɔŋ33	kʰɔːŋ33	kong3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2374	鑛	矿	kʰɔŋ33	kʰɔːŋ33	kong3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		同「礦」字。
2375	𨥑	𨥑	kʰɔŋ33	kʰɔːŋ33	kong3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2376	打	打	ta35	taː35	daa2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2377	冷	冷	laŋ23	laːŋ24	laang5	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2378	耿	耿	kɐŋ35	kɐŋ35	gang2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2379	幸	幸	hɐŋ22	hɐŋ22	hang6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2380	𡴘	𡴘	hɐŋ22	hɐŋ22	hang6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2381	𩶁	𩶁	pʰɔŋ23	pʰɔːŋ24	pong5	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2382	蠯	蠯	pʰɔŋ23	pʰɔːŋ24	pong5	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2383	螷	螷	pʰɔŋ23	pʰɔːŋ24	pong5	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2384	靜	静	tʃiŋ22	t͡ʃɪŋ22/t͡ʃeŋ22	zing6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2385	靖	靖	tʃiŋ22	t͡ʃɪŋ22/t͡ʃeŋ22	zing6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2386	整	整	tʃiŋ35	t͡ʃɪŋ35/t͡ʃeŋ35	zing2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2387	⿱⿰来攵正	⿱⿰来攵正	tʃiŋ35	t͡ʃɪŋ35/t͡ʃeŋ35	zing2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2388	𠢫	𠢫	tʃiŋ35	t͡ʃɪŋ35/t͡ʃeŋ35	zing2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2389	逞	逞	tʃʰiŋ21	t͡ʃʰɪŋ21/t͡ʃʰeŋ21	cing4	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		標調疑誤，應爲陰上而非陽平，可參看《廣西通誌（漢語方言誌）》P805。
2390	穎	颖	0iŋ35	jɪŋ35/jeŋ35	jing2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2391	領	领	liŋ23	lɪŋ24/leŋ24	ling5	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2392	嶺	岭	liŋ23	lɪŋ24/leŋ24	ling5	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2393	阾	阾	liŋ23	lɪŋ24/leŋ24	ling5	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2394	頸	颈	kɛŋ35	kɛːŋ35	geng2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2395	餅	饼	pɛŋ35	pɛːŋ35	beng2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2396	頃	顷	kʰiŋ35	kʰɪŋ35/kʰeŋ35	king2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2397	𩓏	𩓏	kʰiŋ35	kʰɪŋ35/kʰeŋ35	king2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2398	丼	丼	tʃiŋ35	t͡ʃɪŋ35/t͡ʃeŋ35	zing2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2399	請	请	tʃʰiŋ35	t͡ʃʰɪŋ35/t͡ʃʰeŋ35	cing2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2400	省	省	ʃiŋ35	ʃɪŋ35/ʃeŋ35	sing2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）	反省。	
2401	頂	顶	tiŋ35	tɪŋ35/teŋ35	ding2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2402	𩠑	𩠑	tiŋ35	tɪŋ35/teŋ35	ding2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2403	𩕢	𩕢	tiŋ35	tɪŋ35/teŋ35	ding2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2404	鼎	鼎	tiŋ35	tɪŋ35/teŋ35	ding2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2405	挺	挺	tʰiŋ35	tʰɪŋ35/tʰeŋ35	ting2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2406	艇	艇	tʰɛŋ23	tʰɛːŋ24	teng5	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2407	醒	醒	ɬiŋ35	ɬɪŋ35/ɬeŋ35	sling2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2408	竝	竝	piŋ33	pɪŋ33/peŋ33	bing3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		同「并」字。
2409	並	并	piŋ33	pɪŋ33/peŋ33	bing3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2410	拯	拯	tʃiŋ35	t͡ʃɪŋ35/t͡ʃeŋ35	zing2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）	拯救。	
2411	抍	抍	tʃiŋ35	t͡ʃɪŋ35/t͡ʃeŋ35	zing2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）	拯救。	同「拯」字。
2412	撜	撜	tʃiŋ35	t͡ʃɪŋ35/t͡ʃeŋ35	zing2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）	拯救。	
2413	等	等	tɐŋ35	tɐŋ35	dang2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2414	肯	肯	hɐŋ35	hɐŋ35	hang2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2415	肎	肎	hɐŋ35	hɐŋ35	hang2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2416	有	有	0iɐu23	jɐu24	jau5	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2417	友	友	0iɐu23	jɐu24	jau5	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2418	㕛	㕛	0iɐu23	jɐu24	jau5	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2419	柳	柳	lɐu23	lɐu24	lau5	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2420	紐	纽	nɐu35	nɐu35	nau2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2421	扭	扭	nɐu35	nɐu35	nau2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2422	丑	丑	tʃʰɐu35	t͡ʃʰɐu35	cau2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2423	肘	肘	tʃɐu22	t͡ʃɐu22	zau6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2424	朽	朽	ŋɐu35	ŋɐu35	ngau2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2425	㱙	㱙	ŋɐu35	ŋɐu35	ngau2	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
