ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1179	軋	轧	∅iat2	jat2	jaat6	1997年李榮主編《南寧平話詞典》引論P22	(建築物等)下陷：牆腳～喇	原文有音無字
1180	兀	兀	ŋat5	ŋat5	ngaat3	1997年李榮主編《南寧平話詞典》引論P22	翹～～：形容翹起的狀態	原文有音無字
1181	扤	扤	ŋat23	ŋat24	ngaat5	1997年李榮主編《南寧平話詞典》引論P22	用身體擦：牛～樹、～癢	原文有音無字
1182	搣	搣	mət3	mɐt3	mat2	1997年李榮主編《南寧平話詞典》引論P22	掐：～人、～菜	原文有音無字
1183	腯	腯	tət5	tɐt5	dat3	1997年李榮主編《南寧平話詞典》引論P22	肥～～：胖墩墩	原文有音無字
1184	挃	挃	tət3	tɐt3	dat2	1997年李榮主編《南寧平話詞典》引論P22	放置(動物)：亞隻嘢～住亞啲	原文有音無字
1185	趿	趿	tʰət3	tʰɐt3	tat2	1997年李榮主編《南寧平話詞典》引論P22	走動；逛：渠成日到處～	原文有音無字
1186	苶	苶	nət3	nɐt3	nat2	1997年李榮主編《南寧平話詞典》引論P22	酸痛：腰骨坐到～喇	原文有音無字
1187	甩	甩	lət5	lɐt5	lat3	1997年李榮主編《南寧平話詞典》引論P22	～椗喇：落蒂了	原文有音無字
1188	捋	捋	lət3	lɐt3	lat2	1997年李榮主編《南寧平話詞典》引論P22	摘取：～辣椒	原文有音無字
1189	蝨	虱	sət5	ʃɐt5	sat3	1997年李榮主編《南寧平話詞典》引論P22	龍[loŋ21]～：水中一種黑色甲蟲	原文有音無字
1190	橛	橛	kʰət5	kʰɐt5	kat3	1997年李榮主編《南寧平話詞典》引論P23	量詞，節：一～甘蔗	原文有音無字
1191	噎	噎	∅ət5	∅ɐt5	at3	1997年李榮主編《南寧平話詞典》引論P23	打～鍬：打噴嚏	原文有音無字
1192	癟	瘪	pet5	pɛt5	bet3	1997年李榮主編《南寧平話詞典》引論P23	濕～～：濕漉漉	原文有音無字
1193	咇	咇	pet2	pɛt2	bet6	1997年李榮主編《南寧平話詞典》引論P23	講話嚊[pi21]嚊[pi21]～～：講話囉囉嗦嗦	原文有音無字
1194	噼	噼	pʰet5	pʰɛt5	pet3	1997年李榮主編《南寧平話詞典》引論P23	(⿰禾包)～～：實不飽滿；內部不結實	原文有音無字
1195	蔑	蔑	met5	mɛt5	met3	1997年李榮主編《南寧平話詞典》引論P23	～手指：小手指	原文有音無字
1196	滅	灭	met2	mɛt2	met6	1997年李榮主編《南寧平話詞典》引論P23	灰～～：形容非常灰暗	原文有音無字
1197	艴	艴	fet5	fɛt5	fet3	1997年李榮主編《南寧平話詞典》引論P23	揈[fəŋ21]～～：輕輕浮浮	原文有音無字
1198	艴	艴	fet5	fɛt5	fet3	1997年李榮主編《南寧平話詞典》引論P23	揈[fəŋ21]～～：輕輕浮浮	原文有音無字
1199	突	突	tet2	tɛt2	det6	1997年李榮主編《南寧平話詞典》引論P23	脤[sən24]～～：形容蓮藕、芋頭等不麵	原文有音無字
1200	澾	㳠	tʰet5	tʰɛt5	tet3	1997年李榮主編《南寧平話詞典》引論P23	滑～～：(路等)很滑	原文有音無字
1201	撻	挞	tʰet3	tʰɛt3	tet2	1997年李榮主編《南寧平話詞典》引論P23	擦：～屁股	原文有音無字
1202	䵒	䵒	net5	nɛt5	net3	1997年李榮主編《南寧平話詞典》引論P23	粈[niu53]～～：形容糨糊很黏	原文有音無字
1203	捏	捏	net2	nɛt2	net6	1997年李榮主編《南寧平話詞典》引論P23	～實飯去：把飯壓實了	原文有音無字
1204	𤊶	𤊶	let5	lɛt5	let3	1997年李榮主編《南寧平話詞典》引論P23	日頭～一世：太陽猛得很	原文有音無字
1205	焫	焫	let3	lɛt3	let2	1997年李榮主編《南寧平話詞典》引論P23	燎：火～着眉毛喇	原文有音無字
1206	剌	剌	let2	lɛt2	let6	1997年李榮主編《南寧平話詞典》引論P23	用刀劃：～開去、～一刀	原文有音無字
1207	設	设	tsʰet5	tʃʰɛt5	cet3	1997年李榮主編《南寧平話詞典》引論P23	薄～～：形容非常薄	原文有音無字
