ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
274	組	组	tɕu33	tʃu33	zu2	2000年李連進《平話音韻研究》P31		
275	做	做	tɕu55	tʃu55	zu3	2000年李連進《平話音韻研究》P31		
276	粗	粗	tɕʰu41	tʃʰu53	cu1	2000年李連進《平話音韻研究》P31		
277	醋	醋	tɕʰu55	tʃʰu55	cu3	2000年李連進《平話音韻研究》P31		
278	措	措	tɕʰɔ55	tʃʰo55	co3	2000年李連進《平話音韻研究》P31	措置	
279	錯	错	tɕʰɔ55	tʃʰo55	co3	2000年李連進《平話音韻研究》P31	錯誤	
280	蘇	苏	ɬu41	ɬu53	slu1	2000年李連進《平話音韻研究》P32		
281	酥	酥	ɬu41	ɬu53	slu1	2000年李連進《平話音韻研究》P32		
282	素	素	ɬu55	ɬu55	slu3	2000年李連進《平話音韻研究》P32		
283	訴	诉	ɬu55	ɬu55	slu3	2000年李連進《平話音韻研究》P32		
284	塑	塑	ɬu55	ɬu55	slu3	2000年李連進《平話音韻研究》P32	塑像	
285	嗉	嗉	ɬy55	ɬy55	slyu3	2000年李連進《平話音韻研究》P32	鳥嗉子	
286	姑	姑	ku41	ku53	gu1	2000年李連進《平話音韻研究》P32		
287	孤	孤	ku41	ku53	gu1	2000年李連進《平話音韻研究》P32		
288	箍	箍	kʰu41	kʰu53	ku1	2000年李連進《平話音韻研究》P32		
289	古	古	ku33	ku33	gu2	2000年李連進《平話音韻研究》P32		
290	估	估	ku33	ku33	gu2	2000年李連進《平話音韻研究》P33	估計	
291	䀇	䀇	ku33	ku33	gu2	2000年李連進《平話音韻研究》P33	䀇子	
292	牯	牯	ku33	ku33	gu2	2000年李連進《平話音韻研究》P33		
293	股	股	ku33	ku33	gu2	2000年李連進《平話音韻研究》P33		
294	鼓	鼓	ku33	ku33	gu2	2000年李連進《平話音韻研究》P33		
295	故	故	ku55	ku55	gu3	2000年李連進《平話音韻研究》P33		
296	固	固	ku55	ku55	gu3	2000年李連進《平話音韻研究》P33		
297	錮	锢	ku55	ku55	gu3	2000年李連進《平話音韻研究》P33	錮露鍋	
298	雇	雇	ku55	ku55	gu3	2000年李連進《平話音韻研究》P33		
299	顧	顾	ku55	ku55	gu3	2000年李連進《平話音韻研究》P33		
300	枯	枯	hu55	hu55	hu3	2000年李連進《平話音韻研究》P34		原文如此，疑誤
301	苦	苦	hu33	hu33	hu2	2000年李連進《平話音韻研究》P34		
302	庫	库	hu55	hu55	hu3	2000年李連進《平話音韻研究》P34		
303	褲	裤	hu55	hu55	hu3	2000年李連進《平話音韻研究》P34		
304	吳	吴	ŋ̍21	ŋ̍21	ng4	2000年李連進《平話音韻研究》P34		
