繁體	簡體	南寧白話	又音	廣州話
膇	膇	zui6「腳腫」	(語)dui3「浮腫」	zeoi6,deoi3
膈	膈	gaak3		gaak3
膉	膉	jik1「油脂變質」	(語)jek3「哈喇，又作䭞字」	jik1
膊	膊	bok3		bok3
膍	膍	pi4		pei4
膏	膏	gu1		gou1
膘	膘	biu1		biu1
膙	膙	koeng5		koeng5
膚	肤	fu1		fu1
膛	膛	tong4		tong4
膜	膜	mok6「薄膜」,mu4「膜拜」	(又)mok3	1)mok6:耳膜 2)mou4:膜拜
膝	膝	slat1		sat1
膞	䏝	zyun1		zyun1
膠	胶	(白)geu1	(文)gaau1	gaau1
膥	膥	can1「卵」	(老派)cyun1	ceon1
膨	膨	paang4		paang4
膩	腻	ni6	(語)nau6「又作腬字」	nei6
膪	膪	zaa6「𦜖膪」,cui2「囊膪」		zaa6,ceoi2
膬	膬	cui3		ceoi3
膳	膳	sin6		sin6
膵	膵	cui3		seoi6
膶	膶	jan6「禽畜的肝，本字潤」	(老派)jyun6,(白)jan2,(白)jyun2	jeon2
膺	膺	jing1		jing1
膻	膻	saan1「膻味」,daan6「膻中」	(又)zin1「膻味」	zin1
膼	膼	zaa1		zaa1
膽	胆	daam2		daam2
膾	脍	kwai3	(又)kui3	kui2；(又)kui3
膿	脓	nung4		nung4
臀	臀	tan4		tyun4
臂	臂	bi3		bei3
臃	臃	jung1		jung2
臄	臄	koek6		koek6
臆	臆	jik1		jik1
臉	脸	lim5		lim5
臊	臊	slu1「臊味」,slu3「害臊」		sou1,sou3
臌	臌	gu2		gu2
臍	脐	ci4		ci4
臏	膑	ban3		ban3
臒	臒	wok3		wok3
臕	臕	biu1		biu1
臘	腊	laap6		laap6
臚	胪	lu4		lou4
臝	臝	lo2「同裸字」		lo2
臟	脏	zong6		zong6
臢	臜	zim1「腌臢」		zim1
臣	臣	can4		san4
臤	臤	hin1「堅固」,jin4「同賢字」		hin1
臥	卧	ngo6		ngo6
臧	臧	zong1		zong1
臨	临	lam4		lam4
自	自	zi6	(老派)zy6	zi6
臬	臬	nit6	(又)nip6	jit6
臭	臭	cau3		cau3
臲	臲	nit6		jit6
至	至	zi3		zi3
致	致	zi3		zi3
臸	臸	zan3「前往」,zi1「到達；如一」		zeon3,zi1
臺	台	toi4		toi4
臻	臻	zan1		zeon1
臼	臼	kau5		kau5
臾	臾	jyu4		jyu4
臿	臿	caap3		caap3
舀	舀	jiu5		jiu5
舁	舁	jyu4		jyu4
舂	舂	cung1		zung1
舄	舄	slik1		sik1
舅	舅	kau5		kau5
與	与	jyu5		1)jyu5:贈與 2)jyu6:參與；同歟
興	兴	hing3「高興」,hing1「興旺」		1)hing1:興奮 2)hing3:高興
舉	举	gyu2		geoi2
舊	旧	gau6		gau6
舋	舋	jan3「同釁字」	(又)han3	jan3,jan6
舌	舌	sit6		sit3；(又)sit6
舍	舍	se2「同捨字」,se3「宿舍」		se3；同捨
舐	舐	saai5	(語)lem2	saai5
舒	舒	syu1		syu1
舔	舔	tim2		tim2
舖	舖	pu3「店舖」,pu1「牀舖」		pou3,pou1
舛	舛	cyun2		cyun2
舜	舜	san6	(老派)syun6	seon3
舞	舞	mu5		mou5
舟	舟	zau1		zau1
舠	舠	du1		dou1
舢	舢	saan1		saan1
舥	舥	paa1	(又)baa1	paa1
舦	舦	taai5「舵」		taai5
舨	舨	baan2		baan2
航	航	hong4		hong4
舫	舫	fong2		fong2
般	般	bun1		bun1；1)(古人名)baan1公輸般 2)(佛經語)bo1波若
舯	舯	zung1		zung1
舳	舳	zuk6		zuk6
舴	舴	zaak3		zaak3
